Ateam_1,Ateam_2,Ateam_3,Bteam_1,Bteam_2,Bteam_3,Ateam_Score,Bteam_Score,Competition
58,133,172,5265,4564,8023,89,48,PineTree
58,166,5265,157,3467,125,66,94,PineTree
125,172,4564,157,5687,3451,96,47,PineTree
125,7907,8023,5494,172,2648,42,51,PineTree
125,133,6895,190,3451,4473,85,40,PineTree
125,133,6895,190,3451,4473,78,48,PineTree
125,133,6895,4564,5813,8023,79,83,PineTree
125,133,6895,4564,5813,8023,79,89,PineTree
133,7314,166,5494,4473,172,61,40,PineTree
133,125,6895,3467,4564,7907,58,75,PineTree
133,5687,4906,1831,6895,2648,63,24,PineTree
157,6161,190,3451,133,5813,19,69,PineTree
157,4041,7314,2648,4564,166,26,71,PineTree
166,58,3467,4041,6895,190,65,33,PineTree
166,5494,157,7314,1831,4473,43,14,PineTree
166,1831,4906,6153,3467,5687,72,73,PineTree
172,3451,6161,166,8023,1831,32,37,PineTree
190,8023,3451,4906,4041,6895,33,56,PineTree
1831,5813,6161,4564,157,6153,53,45,PineTree
1831,5265,7314,5813,7907,133,14,84,PineTree
2648,166,190,6153,5813,5494,48,72,PineTree
2648,7907,4906,1831,133,4564,28,73,PineTree
3451,7314,4564,172,3467,5265,47,63,PineTree
3451,8023,5494,6161,6895,6329,45,49,PineTree
3467,2648,58,3451,166,4473,80,52,PineTree
3467,58,6153,8023,5687,7314,84,47,PineTree
3467,6329,7907,1831,6153,4906,82,37,PineTree
3467,6329,7907,1831,6153,4906,85,52,PineTree
3467,6329,7907,5687,58,2648,72,63,PineTree
3467,6329,7907,5687,58,5265,88,69,PineTree
3467,6329,7907,4564,5813,8023,88,91,PineTree
3467,6329,7907,4564,5813,8023,0,63,PineTree
4041,6329,5494,190,4473,5265,62,22,PineTree
4041,1831,125,58,8023,6895,69,52,PineTree
4473,6895,133,6161,5265,5813,53,38,PineTree
4473,125,5687,190,3467,5813,62,96,PineTree
4473,190,6153,7314,172,4041,34,51,PineTree
4564,190,6329,125,7314,5494,85,54,PineTree
4564,4473,4041,6161,125,166,37,71,PineTree
4564,5813,8023,157,166,6161,69,40,PineTree
4564,5813,8023,157,166,6161,77,37,PineTree
4906,157,6329,4473,7907,6161,76,6,PineTree
5265,125,5813,3467,6329,1831,50,96,PineTree
5265,6153,4041,133,5494,3467,36,73,PineTree
5494,4564,6895,5687,1831,58,45,53,PineTree
5494,190,7907,5265,6329,3451,24,65,PineTree
5687,5265,2648,125,58,7907,25,64,PineTree
5687,58,2648,4041,172,5494,68,49,PineTree
5687,58,2648,4041,172,5494,65,57,PineTree
5813,5687,4564,6895,7314,7907,56,12,PineTree
5813,58,157,172,6153,8023,83,35,PineTree
6153,4906,3451,8023,157,2648,51,29,PineTree
6161,5494,5687,2648,157,133,18,51,PineTree
6329,2648,4473,58,4906,190,44,52,PineTree
6329,5813,8023,5687,4041,133,79,80,PineTree
6895,3451,3467,5813,2648,4041,53,72,PineTree
6895,5265,157,4564,6161,4906,44,39,PineTree
6895,5813,172,4906,5494,5265,78,52,PineTree
7314,6161,58,172,166,5687,35,56,PineTree
7314,6153,1831,5687,190,6329,23,77,PineTree
7907,6329,172,6153,2648,166,63,44,PineTree
7907,6161,6153,190,4906,125,20,67,PineTree
7907,172,157,4041,3451,58,44,77,PineTree
7907,3451,1831,6329,133,6161,30,53,PineTree
8023,4041,3467,4906,4473,7314,45,24,PineTree
8023,4906,4473,6329,6153,125,23,86,PineTree